Price,Original Price,Rating,Reviews,Skin Type,Country of Origin,Benefits,Discount (%)
298,350.0,4.1,20768.0,2,0,14,14.86
242,285.0,4.3,16905.0,12,0,14,15.09
247,290.0,4.2,16482.0,12,0,14,14.83
170,284.0,4.5,16855.0,3,0,1,40.14
199,269.0,4.0,15327.0,12,0,14,26.02
87,159.0,4.4,2821.0,2,0,14,45.28
156,240.0,4.3,64751.0,8,0,14,35.0
217,275.0,4.2,11643.0,12,0,14,21.09
199,285.0,4.2,4195.0,2,0,14,30.18
399,499.0,4.0,3213.0,2,0,14,20.04
170,284.0,4.5,4980.0,2,0,12,40.14
190,200.0,4.2,1065.0,2,0,12,5.0
340,395.0,4.4,1782.0,6,0,14,13.92
185,250.0,4.1,21356.0,12,0,14,26.0
206,375.0,4.3,2842.0,2,0,14,45.07
426,495.0,4.3,3431.0,2,0,13,13.94
191,225.0,4.1,260.0,2,0,14,15.11
304,349.0,4.3,2491.0,2,0,14,12.89
168,210.0,4.1,3328.0,2,0,14,20.0
163,250.0,4.2,1633.0,12,0,14,34.8
141,235.0,4.4,4335.0,12,0,14,40.0
181,229.0,4.2,1549.0,2,0,14,20.96
209,299.0,4.1,2075.0,12,0,14,30.1
263,350.0,4.3,1205.0,12,0,14,24.86
173,270.0,4.3,1965.0,2,0,14,35.93
518,649.0,3.9,1608.0,2,0,14,20.18
299,349.0,4.1,1182.0,12,0,14,20.035
164,219.0,4.2,5258.0,2,0,14,25.11
299,399.0,4.0,15326.0,12,0,14,25.06
217,275.0,4.1,1325.0,2,0,14,21.09
243,279.0,4.2,1673.0,9,0,2,12.9
199,300.0,4.3,2226.0,12,0,14,33.67
249,349.0,4.3,1605.0,2,0,14,20.035
169,220.0,4.4,11843.0,1,0,9,23.18
261,349.0,4.2,1505.0,12,0,14,25.21
554,629.0,4.4,3252.0,12,0,14,11.92
269,299.0,4.2,3580.0,2,0,14,10.03
199,270.0,4.2,10769.0,12,0,14,26.3
199,275.0,4.1,1689.0,2,0,14,27.64
240,320.0,4.3,6905.0,12,0,14,25.0
324,395.0,4.3,885.0,12,0,14,17.97
487,749.0,4.2,2256.0,2,0,14,34.98
176,270.0,4.4,12920.0,12,0,14,34.81
221,280.0,4.1,1220.0,12,0,14,21.07
249,349.0,4.3,1239.0,2,0,14,20.035
356,445.0,4.2,404.0,2,0,14,20.0
142,149.0,4.4,1874.0,12,0,14,4.7
192,270.0,4.1,11974.0,12,0,14,28.89
254,319.0,4.3,1163.0,12,0,14,20.38
249,349.0,4.2,1286.0,2,0,14,20.035
439,499.0,4.1,1172.0,2,0,14,12.02
217,249.0,4.2,447.0,12,0,14,12.85
170,195.0,4.3,3662.0,0,0,14,12.82
173,299.0,4.5,406.0,2,0,14,42.14
370,529.0,4.3,2726.0,2,2,14,30.06
198,220.0,4.4,4519.0,12,0,14,10.0
478,599.0,4.1,1827.0,2,0,14,20.2
479,550.0,4.3,2345.0,2,0,14,12.91
224,325.0,4.3,1695.0,2,0,14,31.08
198,250.0,4.2,10015.0,12,0,14,20.8
457,525.0,4.3,526.0,12,0,14,12.95
286,349.0,4.3,174.0,12,0,14,18.05
409,499.0,4.3,888.0,2,0,12,18.04
639,799.0,4.1,247.0,2,0,11,20.03
214,249.0,4.1,3470.0,12,0,14,14.06
168,210.0,4.2,1012.0,2,0,14,20.0
349,499.0,4.4,443.0,2,0,14,30.06
426,495.0,4.5,802.0,12,0,14,13.94
612,785.0,4.4,1922.0,12,0,14,22.04
159,199.0,4.4,543.0,12,0,14,20.1
506,575.0,4.3,1732.0,12,0,14,12.0
474,729.0,4.2,780.0,2,0,14,34.98
185,250.0,4.2,8212.0,2,0,14,26.0
447,545.0,4.4,91.0,2,0,14,17.98
548,645.0,3.9,72.0,2,0,14,15.04
241,325.0,4.3,432.0,2,0,14,25.85
467,899.0,4.5,460.0,2,0,14,48.05
129,199.0,4.5,420.0,2,0,14,35.18
170,179.0,4.6,67.0,2,0,14,5.03
307,349.0,4.2,330.0,12,0,14,12.03
570,695.0,4.3,497.0,2,0,14,17.99
312,465.0,4.4,1213.0,2,0,14,32.9
190,275.0,4.3,15456.0,12,0,14,30.91
330,575.0,4.6,216.0,2,0,14,42.61
278,319.0,4.4,3702.0,12,0,14,12.85
219,249.0,4.0,225.0,2,0,14,12.05
494,595.0,3.5,293.0,2,0,14,16.97
186,270.0,4.2,3804.0,12,0,14,31.11
149,199.0,4.5,299.0,12,0,14,25.13
